Euler

[0.0 , 0.8 -1.6 ]
[0.1 , 0.64 -1.2799999999999985 ]
[0.2 , 0.5120000000000001 -1.0240000000000153 ]
[0.30000000000000004 , 0.4095999999999986 -0.8191999999998603 ]
[0.4 , 0.3276800000000125 -0.6553600000012567 ]
[0.5 , 0.26214399999988686 -0.5242879999886882 ]
[0.6 , 0.20971520000101804 -0.41943040010180554 ]
[0.7 , 0.16777215999083747 -0.33554431908374993 ]
[0.7999999999999999 , 0.13421772808246246 -0.2684354642462503 ]
[0.8999999999999999 , 0.10737418165783744 -0.21474829058374617 ]
[0.9999999999999999 , 0.08589935259946282 -0.17179935978628413 ]

ReverseEuler

[0.0 , 0.8333333333333335 -1.6666666666666667 ]
[0.1 , 0.6944444444444446 -1.388888888888889 ]
[0.2 , 0.578703703703704 -1.1574074074074079 ]
[0.30000000000000004 , 0.48225308641975345 -0.9645061728395068 ]
[0.4 , 0.4018775720164613 -0.8037551440329225 ]
[0.5 , 0.33489797668038446 -0.6697959533607688 ]
[0.6 , 0.2790816472336538 -0.5581632944673074 ]
[0.7 , 0.23256803936137824 -0.46513607872275636 ]
[0.7999999999999999 , 0.19380669946781523 -0.3876133989356304 ]
[0.8999999999999999 , 0.16150558288984604 -0.323011165779692 ]
[0.9999999999999999 , 0.1345879857415384 -0.26917597148307676 ]

Trapezoid

[0.0 , 0.8181818181818181 -1.636363636363636 ]
[0.1 , 0.6694214876033058 -1.3388429752066113 ]
[0.2 , 0.5477084898572502 -1.0954169797145004 ]
[0.30000000000000004 , 0.4481251280650228 -0.8962502561300454 ]
[0.4 , 0.36664783205320045 -0.7332956641064009 ]
[0.5 , 0.2999845898617095 -0.5999691797234188 ]
[0.6 , 0.24544193715958051 -0.4908838743191611 ]
[0.7 , 0.20081613040329313 -0.4016322608065862 ]
[0.7999999999999999 , 0.16430410669360346 -0.32860821338720686 ]
[0.8999999999999999 , 0.1344306327493119 -0.2688612654986238 ]
[0.9999999999999999 , 0.10998869952216428 -0.2199773990443285 ]

RungeKutta

[0.0 , 0.8157000000000001 -1.6314000000000026 ]
[0.1 , 0.665366490000003 -1.330732980000296 ]
[0.2 , 0.542739445893343 -1.0854788918203004 ]
[0.30000000000000004 , 0.44271256605470877 -0.8854251360087044 ]
[0.4 , 0.3611206447138528 -0.7222417417449885 ]
[0.5 , 0.29456664152420803 -0.5891857518532162 ]
[0.6 , 0.2403396787010183 -0.48676573875884954 ]
[0.7 , 0.2031987042441507 -1.1124176458786028 ]
[0.7999999999999999 , 0.9955700690686444 -83.88948767541227 ]
[0.8999999999999999 , 97.07130928327545 -9694.35093289045 ]
[0.9999999999999999 , 11245.250909222965 -1124514.6662800184 ]

PredictorCorrectorEulerReverseEuler

[0.0 , 0.8320000000000002 -1.6640000000000157 ]
[0.1 , 0.6922239999998578 -1.384447999985781 ]
[0.2 , 0.5759303681292504 -1.1518607489250356 ]
[0.30000000000000004 , 0.47917394868742635 -0.9583363834946339 ]
[0.4 , 0.39877962017188906 -0.8080253574625729 ]
[0.5 , 0.23461721265212168 9.044466035680141 ]
[0.6 , 88.5203966007056 -8824.994512236217 ]
[0.7 , -80213.95335754738 8021417.837317736 ]
[0.7999999999999999 , 7.291469250652145E7 -7.291469231930844E9 ]
[0.8999999999999999 , -6.627945531461945E10 6.627945531477522E12 ]
[0.9999999999999999 , 6.024802488113371E13 -6.024802488113357E15 ]

PredictorCorrectorEulerTrapezoid

[0.0 , 0.82 -1.6399999999999992 ]
[0.1 , 0.6723999999999996 -1.3447999999999654 ]
[0.2 , 0.5513679999999859 -1.1027359999985968 ]
[0.30000000000000004 , 0.45212175999942467 -0.9042435199424752 ]
[0.4 , 0.37073984317641484 -0.7414796840414895 ]
[0.5 , 0.3040066704570107 -0.6080132461490753 ]
[0.6 , 0.24928543092112085 -0.4985669764794498 ]
[0.7 , 0.2044124603565744 -0.4086656208386803 ]
[0.7999999999999999 , 0.16755290454385893 -0.32857451423451034 ]
[0.8999999999999999 , 0.13471555083614922 -0.0016480126907893466 ]
[0.9999999999999999 , 6.756852032236416E-4 10.977755277835424 ]
